time: 0.800000, speaker change
time: 1.350000, speaker change
time: 2.100000, speaker change
time: 2.300000, speaker change
time: 5.050000, speaker change
time: 5.650000, speaker change
time: 6.050000, speaker change
time: 6.250000, speaker change
time: 8.000000, speaker change
time: 8.100000, speaker change
time: 8.600000, speaker change
time: 8.650000, speaker change
time: 8.750000, speaker change
time: 10.800000, speaker change
time: 11.200000, speaker change
time: 17.450000, speaker change
time: 19.100000, speaker change
time: 19.450000, speaker change
time: 19.700000, speaker change
time: 20.150000, speaker change
time: 20.450000, speaker change
time: 20.800000, speaker change
time: 20.950000, speaker change
time: 21.100000, speaker change
time: 21.550000, speaker change
time: 26.000000, speaker change
time: 26.500000, speaker change
time: 26.800000, speaker change
time: 26.900000, speaker change
time: 27.100000, speaker change
time: 27.150000, speaker change
time: 27.200000, speaker change
time: 27.350000, speaker change
time: 27.900000, speaker change
time: 30.350000, speaker change
time: 33.200000, speaker change
time: 33.800000, speaker change
time: 33.950000, speaker change
time: 34.450000, speaker change
time: 34.500000, speaker change
time: 34.550000, speaker change
time: 44.250000, speaker change
time: 44.400000, speaker change
time: 45.050000, speaker change
time: 45.500000, speaker change
time: 46.000000, speaker change
time: 46.200000, speaker change
time: 50.100000, speaker change
time: 50.350000, speaker change
time: 50.400000, speaker change
time: 51.250000, speaker change
time: 51.450000, speaker change
time: 51.700000, speaker change
time: 51.800000, speaker change
time: 54.600000, speaker change
time: 55.200000, speaker change
time: 57.000000, speaker change
time: 57.050000, speaker change
time: 57.450000, speaker change
time: 57.800000, speaker change
time: 57.850000, speaker change
time: 58.400000, speaker change
time: 58.750000, speaker change
time: 60.400000, speaker change
time: 60.450000, speaker change
time: 61.100000, speaker change
time: 61.250000, speaker change
time: 61.400000, speaker change
time: 61.450000, speaker change
time: 61.550000, speaker change
time: 62.500000, speaker change
time: 62.650000, speaker change
time: 63.100000, speaker change
time: 63.400000, speaker change
time: 68.550000, speaker change
time: 68.800000, speaker change
